id,keywords
167073,"['ship', 'based on novel or book', 'love triangle', 'homesickness', 'marriage', 'community', 'working class', 'boarding house', 'suburb', 'ireland', 'brooklyn, new york city', 'journey', 'irish immigrant', '1950s']"
359246,"['mannequin', 'darkness', 'chaos', 'photography', 'investigation', 'cellar', 'telephone', 'halloween', 'haunted house', 'bible', 'clown', 'house', 'abandoned house', 'flashback', 'basement', 'handheld camera', 'brutality', 'cell phone', 'hanging', 'hooded figure', 'found footage', 'dark secret']"
28966,"['friendship', 'paris, france', 'love triangle', 'world war i', 'battlefield', 'aerial combat', 'dogfight', 'black and white', 'warfare', 'silent film', 'us military', '1910s', 'fighter pilots']"
700348,['erotic movie']
321612,"['france', 'magic', 'fairy tale', 'transformation', 'cartoon', 'castle', 'musical', 'remake', 'curse', 'creature', '18th century', 'beast', 'live action and animation', 'live action remake']"
11,"['empire', 'galaxy', 'rebellion', 'android', 'hermit', 'smuggling (contraband)', 'freedom', 'rebel', 'rescue mission', 'space', 'planet', 'desert', 'super power', 'oppression', 'space opera', 'wizard', 'totalitarianism']"
550,"['dual identity', 'rage and hate', 'based on novel or book', 'nihilism', 'fight', 'support group', 'dystopia', 'insomnia', 'alter ego', 'breaking the fourth wall', 'split personality', 'quitting a job', 'dissociative identity disorder', 'self destructiveness']"
1450863,['distressing']
319,"['hotel', 'parent child relationship', 'movie business', 'detective', 'mexican standoff', 'pimp', 'cocaine', 'ex-cop', 'love', 'murder', 'on the run', 'mafia', 'comic book shop', 'los angeles, california', 'drugs', 'detroit, michigan', 'illegal prostitution', 'sicilian', 'gun violence', 'aspiring actor', 'neo-noir', 'intimate', 'suspenseful', 'intense', 'comforting', 'euphoric']"
1241436,"['u.s. navy seal', 'docudrama', 'iraq war', 'platoon', 'real time', '2000s']"
76600,"['dying and death', 'loss of loved one', 'alien life-form', 'resurrection', 'dysfunctional family', 'sequel', 'alien planet', 'distant future', 'adopted child', 'rebirth', 'family dynamics', 'adopted son', 'stronger villain', 'war']"
693134,"['epic', 'based on novel or book', 'fight', 'politics', 'sandstorm', 'sand', 'spice', 'chosen one', 'cult', 'sequel', 'romance', 'tragedy', 'distant future', 'tragic hero', 'creature', 'planet', 'desert', 'destiny', 'giant worm', 'space opera', 'sand dune', 'allegorical', 'messiah', 'fall from grace', 'vengeance', 'vindictive', 'cautionary', 'religious allegory', 'giant creature', 'power', 'violence', 'ambiguous', 'antagonistic', 'audacious', 'awestruck', 'exuberant', 'foreboding', 'melodramatic']"
424,"['factory', 'hero', 'nazi', 'concentration camp', 'ss (nazi schutzstaffel)', 'holocaust (shoah)', 'world war ii', 'ghetto', 'jew persecution', 'kraków, poland', 'defense industry', 'auschwitz-birkenau concentration camp', 'biography', 'based on true story', 'industrialist', 'historical fiction', 'black and white', 'train', 'poland', 'evil', 'philosophical', 'weapons manufacturer', 'loving', 'hopeful', 'nazi train']"
1388366,"['legend', 'slasher', 'haunt']"
24428,"['new york city', 'superhero', 'shield', 'based on comic', 'alien invasion', 'superhero team', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)']"
1895,"['showdown', 'lava', 'fight', 'politics', 'volcano', 'chosen one', 'sequel', 'romance', 'prequel', 'tragedy', 'cult figure', 'tragic hero', 'vision', 'planet', 'hatred', 'dream sequence', 'expectant mother', 'space opera', 'chancel', 'burn injury', 'allegorical', 'tragic romance', 'fall from grace', 'graphic', 'power', 'violence']"
299534,"['superhero', 'time travel', 'space travel', 'time machine', 'based on comic', 'sequel', 'alien invasion', 'superhero team', 'marvel cinematic universe (mcu)', 'alternate timeline', 'father daughter relationship', 'sister sister relationship', 'awestruck', 'excited', 'powerful', 'vibrant']"
1834,"['detective', 'female lover', 'femme fatale', 'hallucinogenic drug', 'film noir', 'los angeles, california', 'beach house', 'private detective', 'sedation', 'search for truth', 'unfaithful wife', 'tiki culture']"
502356,"['gorilla', 'plumber', 'villain', 'anthropomorphism', 'magic mushroom', 'based on video game', 'toad', 'aftercreditsstinger', 'duringcreditsstinger', 'damsel in distress', 'piano', 'brother brother relationship', 'illumination', 'evil king']"
1249289,[]
1035048,"['mine', 'colorado', 'alien', 'hospital', 'alien invasion', 'ski lift', 'abandoned mine', 'monsters', 'mountains']"
