id,platforms
894,"PlayStation 3, PlayStation 4, Xbox 360, Xbox One"
442855,"Xbox One, PlayStation 4, PC"
23587,"PlayStation 4, Xbox One, PC, Nintendo Switch"
3300,"macOS, PC, Xbox One, PlayStation 4"
397477,"Nintendo Switch, PC, Xbox Series S/X, PlayStation 5, PlayStation 4, Xbox One"
11974,"Nintendo Switch, PC, Linux, macOS, Xbox 360"
17174,"PC, Nintendo Switch, Xbox One, Xbox 360, PlayStation 3, PlayStation 4, PS Vita"
5564,"PC, PlayStation 3, Xbox 360"
295,"Nintendo Switch, Xbox One, PlayStation 4, iOS, PC, Linux, Android, macOS"
4882,"PC, PlayStation 3, Xbox 360, Android, iOS"
17037,"PC, Xbox 360, macOS, Linux"
6879,"macOS, Xbox One, Nintendo Switch, PC, PlayStation 4"
455597,"PlayStation 5, Xbox Series S/X, PlayStation 4, PC, Nintendo Switch, Xbox One"
5565,"PC, PlayStation 3, Xbox 360"
13820,"Xbox 360, Xbox, PC"
685577,"Nintendo Switch, Android, PC, iOS, Xbox One, Web"
12929,"Xbox One, PlayStation 4, iOS, PC, macOS, Linux, Nintendo Switch, Android"
3052,"Xbox One, PC, PlayStation 4"
2100,"PlayStation 3, macOS, PC, iOS, Nintendo Switch, Android, PlayStation 4, Xbox 360, Xbox One"
3561,"PlayStation 3, Xbox 360, PC, PlayStation 4, PS Vita"
23557,"Xbox One, iOS, PC, PlayStation 4, Android"
17885,"PC, macOS, Linux, Xbox 360"
4179,"PC, Wii U, PlayStation 3, Nintendo Switch, Xbox 360"
49,"PlayStation 3, PlayStation 4"
3647,"PlayStation 3, PlayStation 4, PS Vita, Wii U, Xbox 360, Xbox One, PC, Nintendo Switch"
452649,"Xbox Series S/X, PC, iOS, PlayStation 5, Nintendo Switch, Xbox One, PlayStation 4"
4358,"PlayStation 3, PC, Xbox 360, PlayStation 4, Xbox One"
382,"PlayStation 5, Xbox Series S/X, PC, PlayStation 4, Nintendo Switch, Xbox One"
4869,"Xbox 360, Wii, macOS, PC, Nintendo DS, PlayStation 3"
42215,"Xbox One, PlayStation 4, Nintendo Switch, PC"
58494,"PC, Xbox One, PlayStation 4"
28110,"PlayStation 4, PC, Xbox One, Nintendo Switch"
1789,"Wii U, Xbox One, macOS, PS Vita, PC, Linux, PlayStation 3, PlayStation 4"
4397,"PlayStation 3, Xbox One, PC, Xbox 360"
3635,"PlayStation 4, Xbox 360, PC, iOS, PlayStation 3, PS Vita, Nintendo Switch"
719,"Nintendo Switch, iOS, PC, macOS, PlayStation 4, Xbox One, Linux"
4347,"Xbox 360, PC, PlayStation 3"
15829,"PlayStation 4, Xbox One, macOS, PC, Linux"
892,"Xbox 360, iOS, PC, macOS, Linux, Nintendo Switch, PlayStation 4"
15566,"Xbox 360, PC, PlayStation 3"
1259,"PlayStation 3, PlayStation 4, PS Vita, Xbox One, iOS, PC, Android, Linux, Nintendo Switch, macOS"
4581,"PlayStation 3, Xbox 360, PC"
5342,"PC, PlayStation 3, Xbox 360"
34,"PC, Nintendo Switch, PlayStation 4, Xbox One"
59313,"Android, macOS, PC, iOS, Xbox One, PlayStation 5, Xbox Series S/X, PlayStation 4, Nintendo Switch"
45970,"PC, PlayStation 4, Nintendo Switch, Xbox One"
1758,"PlayStation 3, Xbox 360, Nintendo Switch, PC, iOS, Android, Xbox One, PlayStation 4"
41490,"PlayStation 4, macOS, PC, Xbox One"
5528,"Xbox 360, PC, PlayStation 3, Nintendo DS, Xbox One, Wii"
19056,"Xbox Series S/X, PlayStation 4, PC, Xbox One, Nintendo Switch"
4491,PlayStation 3
3965,"PC, PlayStation 3, Xbox 360"
58764,"PlayStation 4, Nintendo Switch, Xbox One, PC"
38,"Android, PlayStation 4, PC, Xbox One, iOS"
19057,"PlayStation 4, PC, Xbox One, Nintendo Switch, Xbox Series S/X"
5298,"Xbox, PSP, PlayStation 3, PC, GameCube, PlayStation 2, Xbox 360"
10767,"Xbox One, PlayStation 4, macOS, PC, Linux"
58952,"PlayStation 4, Linux, macOS, PC, Nintendo Switch, Xbox One"
5636,"PlayStation 3, PC, Xbox 360, Xbox One"
15642,"PC, Xbox 360, PlayStation 3"
44525,"PlayStation 4, PC, Nintendo Switch, Xbox One, PlayStation 3"
19592,"PC, PlayStation 2, PlayStation 3, Xbox 360, Xbox, GameCube"
3315,"Linux, macOS, PC, PlayStation 4"
16787,"PC, Wii, Xbox 360"
58752,"PlayStation 4, Xbox One, PC"
17127,"Xbox 360, Xbox One, Linux, PC, macOS"
4535,"Nintendo DS, PC, Xbox One, macOS, Wii, Xbox 360, PlayStation 3, PlayStation 4"
326252,"Xbox Series S/X, PC, Xbox One"
58827,"Xbox One, PlayStation 4, Nintendo Switch, Linux, PC, macOS"
4523,"PlayStation 3, Xbox 360, PC"
6773,"PC, Xbox One"
29171,"PlayStation 4, PC, Xbox One"
391399,"Xbox One, PC"
4012,"Xbox One, Xbox 360, Nintendo 3DS, Wii U, PlayStation 3, Nintendo Switch, PlayStation 4, PC"
884,"Xbox One, PlayStation 4, PC"
18003,"Nintendo Switch, iOS, PlayStation 4, PC, macOS, Linux"
5297,"macOS, PC, PSP, PlayStation 2, Xbox 360, Wii, iOS"
622492,"Xbox Series S/X, PC, iOS, Xbox One"
204,"Xbox One, PlayStation 4, Android, PC, iOS, macOS"
2805,"PlayStation 4, PC"
11970,"Xbox 360, Xbox One, PC, macOS, Nintendo Switch, PlayStation 4, Xbox"
9835,"Xbox One, PlayStation 4, PC, Nintendo Switch"
29215,"PlayStation 4, Xbox One, iOS, macOS, Linux, Android, PC"
2255,"Xbox One, PlayStation 4, PC, macOS, Linux"
52939,"PC, iOS, Android, Nintendo Switch, PlayStation, PlayStation 4, Xbox One"
4387,"PlayStation 3, Xbox 360, macOS, PC, Linux"
197,"PlayStation 4, Xbox One, PC, macOS"
4439,"PlayStation 3, Xbox One, PC, Wii U, Xbox 360"
